node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
12,1,0.144461967181504,645425.793847873,737570.487431011,627900.92433777,638449.465755059,0.144461967181504,0,2020.0686527869,2020.21311475408,20930000,Liège,Hainaut,4031,7100
12,13,0.05347371079,645425.793847873,737570.487431011,646484.816421538,738994.832027711,0.05347371079,0,2020.0686527869,2020.12212649769,20930000,Liège,Liège,4031,4030
13,14,0.000166289214100002,646484.816421538,738994.832027711,646500.507197124,738926.406515531,0.0536400000041,0.05347371079,2020.12212649769,2020.1222927869,20930000,Liège,Liège,4030,4030
13,17,0.049425892,646484.816421538,738994.832027711,625116.52998385,653527.631438783,0.10289960279,0.05347371079,2020.12212649769,2020.17155238969,20930000,Liège,Hainaut,4030,6040
14,5,0.123608852481504,646500.507197124,738926.406515531,646203.54615974,738775.909736119,0.177248852485604,0.0536400000041,2020.1222927869,2020.24590163939,20930000,Liège,Liège,4030,4032
14,15,0.05743566521,646500.507197124,738926.406515531,647282.372402852,738795.999703608,0.1110756652141,0.0536400000041,2020.1222927869,2020.17972845211,20930000,Liège,Liège,4030,4030
15,16,0.000544334787500003,647282.372402852,738795.999703608,656739.074447611,739582.251407669,0.1116200000016,0.1110756652141,2020.17972845211,2020.1802727869,20930000,Liège,Liège,4030,4680
15,4,0.000599416736104266,647282.372402852,738795.999703608,647139.366155727,739460.047409309,0.111675081950204,0.1110756652141,2020.17972845211,2020.18032786885,20930000,Liège,Liège,4030,4030
16,2,0.0000550819485742732,656739.074447611,739582.251407669,656797.226904602,739454.820288108,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,20930000,Liège,Liège,4680,4680
16,3,0.0000550819485742732,656739.074447611,739582.251407669,656020.05133016,741017.497414941,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,20930000,Liège,Liège,4680,4680
17,18,0.000470397218599997,625116.52998385,653527.631438783,625108.768702999,653523.159620515,0.1033700000086,0.10289960279,2020.17155238969,2020.17202278691,20930000,Hainaut,Hainaut,6040,6040
17,6,0.0524913261615043,625116.52998385,653527.631438783,644384.961591768,773135.884138858,0.155390928951504,0.10289960279,2020.17155238969,2020.22404371585,20930000,Hainaut,Liège,6040,4700
18,7,0.0984690163715043,625108.768702999,653523.159620515,622516.226418491,659810.870950471,0.201839016380104,0.1033700000086,2020.17202278691,2020.27049180328,20930000,Hainaut,Hainaut,6040,6200
18,19,0.00408,625108.768702999,653523.159620515,625095.359504316,652987.035173031,0.1074500000086,0.1033700000086,2020.17202278691,2020.17610278691,20930000,Hainaut,Hainaut,6040,6040
19,8,0.0506731693815043,625095.359504316,652987.035173031,671904.458948933,644955.589442908,0.158123169390104,0.1074500000086,2020.17610278691,2020.22677595629,20930000,Hainaut,Bruxelles,6040,1082
19,20,0.00546000000000001,625095.359504316,652987.035173031,624987.727863315,652900.704733432,0.1129100000086,0.1074500000086,2020.17610278691,2020.18156278691,20930000,Hainaut,Hainaut,6040,6040
20,9,0.0506776502515043,624987.727863315,652900.704733432,633057.42294232,657644.111877344,0.163587650260104,0.1129100000086,2020.18156278691,2020.23224043716,20930000,Hainaut,Hainaut,6040,6211
20,21,0.04515,624987.727863315,652900.704733432,636761.656729804,648428.496140728,0.1580600000086,0.1129100000086,2020.18156278691,2020.22671278691,20930000,Hainaut,Hainaut,6040,6230
21,10,0.0000631693803942734,636761.656729804,648428.496140728,671619.376521435,696445.997637305,0.158123169388994,0.1580600000086,2020.22671278691,2020.22677595629,20930000,Hainaut,VlaamsBrabant,6230,3350
21,11,0.0191888524415043,636761.656729804,648428.496140728,637170.223797644,648568.52183319,0.177248852450104,0.1580600000086,2020.22671278691,2020.24590163935,20930000,Hainaut,Hainaut,6230,6230
